DECO*27 - キメラ feat. 初音ミク,DECO*27 - キメラ feat. ハツオトミク,DECO*27 - kimera feat. hatsuotomiku,DECO*27,DECO*27,DECO*27,c6HKcNVbByc,170.0
YOASOBI「大正浪漫」Official Music Video,YOASOBI「ダイセイナミマン」Official Music Video,YOASOBI(daiseinamiman)Official Music Video,Ayase / YOASOBI,Ayase / YOASOBI,Ayase / YOASOBI,wJQ9ig_d8yY,180.0
Aiobahn feat. KOTOKO - INTERNET YAMERO (Official Music Video) [Theme for NEEDY GIRL OVERDOSE],Aiobahn feat. KOTOKO - INTERNET YAMERO (Official Music Video) [Theme for NEEDY GIRL OVERDOSE],Aiobahn feat. KOTOKO - INTERNET YAMERO (Official Music Video) [Theme for NEEDY GIRL OVERDOSE],Aiobahn,Aiobahn,Aiobahn,51GIxXFKbzk,245.0
DECO*27 - ジレンマ feat. 初音ミク,DECO*27 - ジレンマ feat. ハツオトミク,DECO*27 - jirenma feat. hatsuotomiku,DECO*27,DECO*27,DECO*27,E_PfhNftyh4,171.0
天球、彗星は夜を跨いで / 星街すいせい(official),テンタマ、スイホシハヨルヲコイデ / ホシマチスイセイ(official),"tentama,suihoshihayoruwokoide / hoshimachisuisei(official)",Suisei Channel,Suisei Channel,Suisei Channel,zLak0dxBKpM,259.0
YOASOBI「アンコール」Official Music Video,YOASOBI「アンコール」Official Music Video,YOASOBI(anko-ru)Official Music Video,Ayase / YOASOBI,Ayase / YOASOBI,Ayase / YOASOBI,vcGbefQBvJ4,282.0
DECO*27 - ヒバナ feat. 初音ミク,DECO*27 - ヒバナ feat. ハツオトミク,DECO*27 - hibana feat. hatsuotomiku,DECO*27,DECO*27,DECO*27,hxSg2Ioz3LM,203.0
ヨルシカ - 春泥棒（OFFICIAL VIDEO）,ヨルシカ - ハルドロボウ（OFFICIAL VIDEO）,yorushika - harudorobo(OFFICIAL VIDEO),ヨルシカ / n-buna Official,ヨルシカ / n-buna Official,yorushika / n-buna Official,Sw1Flgub9s8,300.0
優里『レオ』Official Music Video,ユウサト『レオ』Official Music Video,yuusato(reo)Official Music Video,優里 Official YouTube Channel,ユウサト Official YouTube Channel,yuusato Official YouTube Channel,uxYLXaXtH9I,269.0
爆弾 / カンザキイオリ,バクダン / カンザキイオリ,bakudan / kanzakiiori,カンザキイオリ,カンザキイオリ,kanzakiiori,t5axpBZFZzs,379.0
DECO*27 - シンデレラ feat. 初音ミク,DECO*27 - シンデレラ feat. ハツオトミク,DECO*27 - shinderera feat. hatsuotomiku,DECO*27,DECO*27,DECO*27,adGhT_-JbZI,156.0
King Gnu - 白日,King Gnu - シロニチ,King Gnu - shironichi,King Gnu official YouTube channel,King Gnu official YouTube channel,King Gnu official YouTube channel,ony539T074w,280.0
【オリジナル曲】　FACT/常闇トワ　【フルMV】,【オリジナルキョク】　FACT/ツネヤミトワ　【フルMV】,(orijinarukyoku) FACT/tsuneyamitowa (furuMV),Towa Ch. 常闇トワ,Towa Ch. ツネヤミトワ,Towa Ch. tsuneyamitowa,Zc05le75CfI,196.0
YOASOBI「群青」Official Music Video,YOASOBI「グンアオ」Official Music Video,YOASOBI(gunao)Official Music Video,Ayase / YOASOBI,Ayase / YOASOBI,Ayase / YOASOBI,Y4nEEZwckuU,263.0
DECO*27 - サラマンダー feat. 初音ミク,DECO*27 - サラマンダー feat. ハツオトミク,DECO*27 - saramanda- feat. hatsuotomiku,DECO*27,DECO*27,DECO*27,-H2PCK7DJsQ,157.0
Official髭男dism - Pretender［Official Video］,Officialヒゲオトコdism - Pretender［Official Video］,Officialhigeotokodism - Pretender[Official Video],Official髭男dism,Officialヒゲオトコdism,Officialhigeotokodism,TQ8WlA2GXbk,336.0
DECO*27 - アニマル feat. 初音ミク,DECO*27 - アニマル feat. ハツオトミク,DECO*27 - animaru feat. hatsuotomiku,DECO*27,DECO*27,DECO*27,HtBqK6xsQ9k,153.0
YOASOBI「三原色」Official Music Video,YOASOBI「サンハラショク」Official Music Video,YOASOBI(sanharashoku)Official Music Video,Ayase / YOASOBI,Ayase / YOASOBI,Ayase / YOASOBI,nhOhFOoURnE,227.0
青のすみか / キタニタツヤ - Where Our Blue Is / Tatsuya Kitani,アオノスミカ / キタニタツヤ - Where Our Blue Is / Tatsuya Kitani,aonosumika / kitanitatsuya - Where Our Blue Is / Tatsuya Kitani,キタニタツヤ / Tatsuya Kitani,キタニタツヤ / Tatsuya Kitani,kitanitatsuya / Tatsuya Kitani,zuoVd2QNxJo,201.0
ヨルシカ - ただ君に晴れ (MUSIC VIDEO),ヨルシカ - タダクンニセイレ (MUSIC VIDEO),yorushika - tadakunniseire (MUSIC VIDEO),ヨルシカ / n-buna Official,ヨルシカ / n-buna Official,yorushika / n-buna Official,-VKIqrvVOpo,200.0
yama - 春を告げる (Official Video),yama - ハルヲコクゲル (Official Video),yama - haruwokokugeru (Official Video),yama,yama,yama,DC6JppqHkaM,197.0
DECO*27 - 愛言葉 feat. 初音ミク,DECO*27 - アイゲンハ feat. ハツオトミク,DECO*27 - aigenha feat. hatsuotomiku,DECO*27,DECO*27,DECO*27,aHNWL7MBXoc,219.0
YOASOBI「あの夢をなぞって」 Official Music Video,YOASOBI「アノユメヲナゾッテ」 Official Music Video,YOASOBI(anoyumewonazotsute) Official Music Video,Ayase / YOASOBI,Ayase / YOASOBI,Ayase / YOASOBI,sAuEeM_6zpk,240.0
YOASOBI「たふん」Official Music  Video,YOASOBI「タフン」Official Music  Video,YOASOBI(tafun)Official Music  Video,Ayase / YOASOBI,Ayase / YOASOBI,Ayase / YOASOBI,8iuLXODzL04,264.0
GHOST / 星街すいせい(official),GHOST / ホシマチスイセイ(official),GHOST / hoshimachisuisei(official),Suisei Channel,Suisei Channel,Suisei Channel,IKKar5SS29E,282.0
DECO*27 - ラビットホール feat. 初音ミク,DECO*27 - ラビットホール feat. ハツオトミク,DECO*27 - rabitsutoho-ru feat. hatsuotomiku,DECO*27,DECO*27,DECO*27,eSW2LVbPThw,163.0
【GUMI】KING【Kanaria】,【GUMI】KING【Kanaria】,(GUMI)KING(Kanaria),Kanaria,Kanaria,Kanaria,cm-l2h6GB8Q,135.0
YOASOBI「祝福」Official Music Video (『機動戦士ガンダム 水星の魔女』オープニングテーマ),YOASOBI「シュクフク」Official Music Video (『キドウセンサムライガンダム ミズホシノマオンナ』オープニングテーマ),YOASOBI(shukufuku)Official Music Video ((kidousensamuraigandamu mizuhoshinomaonna)o-puningute-ma),Ayase / YOASOBI,Ayase / YOASOBI,Ayase / YOASOBI,3eytpBOkOFA,198.0
【original anime MV】美少女無罪パイレーツ【hololive/宝鐘マリン】,【original anime MV】ビショウオンナムツミパイレーツ【hololive/タカラカネマリン】,(original anime MV)bishouonnamutsumipaire-tsu(hololive/takarakanemarin),Marine Ch. 宝鐘マリン,Marine Ch. タカラカネマリン,Marine Ch. takarakanemarin,KfZR9jVP6tw,220.0
人生はコメディ/カンザキイオリ,ニンナマハコメディ/カンザキイオリ,ninnamahakomedei/kanzakiiori,カンザキイオリ,カンザキイオリ,kanzakiiori,t-Ux4ccMCGE,261.0
YOASOBI「アイドル」 Official Music Video,YOASOBI「アイドル」 Official Music Video,YOASOBI(aidoru) Official Music Video,Ayase / YOASOBI,Ayase / YOASOBI,Ayase / YOASOBI,ZRtdQ81jPUQ,226.0
マーシャル・マキシマイザー / 星街すいせい(Cover),マーシャル・マキシマイザー / ホシマチスイセイ(Cover),ma-shiyaru・makishimaiza- / hoshimachisuisei(Cover),Suisei Channel,Suisei Channel,Suisei Channel,j2J0_dcHLwo,169.0
YOASOBI「怪物」Official Music Video　(YOASOBI - Monster),YOASOBI「カイモノ」Official Music Video　(YOASOBI - Monster),YOASOBI(kaimono)Official Music Video (YOASOBI - Monster),Ayase / YOASOBI,Ayase / YOASOBI,Ayase / YOASOBI,dy90tA3TT1c,209.0
DECO*27 - ヴァンパイア feat. 初音ミク,DECO*27 - ヴァンパイア feat. ハツオトミク,DECO*27 - vuanpaia feat. hatsuotomiku,DECO*27,DECO*27,DECO*27,e1xCOsgWG0M,180.0
DECO*27 - ボルテッカー feat. 初音ミク,DECO*27 - ボルテッカー feat. ハツオトミク,DECO*27 - borutetsuka- feat. hatsuotomiku,DECO*27,DECO*27,DECO*27,C-7TIDIKc98,154.0
Official髭男dism - Mixed Nuts ［Official Video］,Officialヒゲオトコdism - Mixed Nuts ［Official Video］,Officialhigeotokodism - Mixed Nuts [Official Video],Official髭男dism,Officialヒゲオトコdism,Officialhigeotokodism,CbH2F0kXgTY,230.0
大人 / カンザキイオリ,ダイニン / カンザキイオリ,dainin / kanzakiiori,カンザキイオリ,カンザキイオリ,kanzakiiori,In8eI22f9ZQ,283.0
トウキョウ・シャンディ・ランデヴ / AZKi (Cover),トウキョウ・シャンディ・ランデヴ / AZKi (Cover),toukiyou・shiyandei・randevu / AZKi (Cover),AZKi,AZKi,AZKi,XMNh4WWmZGQ,192.0
あの夏か飽和する。 / 天音かなた(cover),アノナツカホウワスル。 / テンオトカナタ(cover),anonatsukahouwasuru. / tenotokanata(cover),Kanata Ch. 天音かなた,Kanata Ch. テンオトカナタ,Kanata Ch. tenotokanata,O01nNUXFoM8,371.0
YOASOBI「勇者」 Official Music Video／TVアニメ『葬送のフリーレン』オープニングテーマ,YOASOBI「イサミモノ」 Official Music Video／TVアニメ『ソウソウノフリーレン』オープニングテーマ,YOASOBI(isamimono) Official Music Video/TVanime(sosonofuri-ren)o-puningute-ma,Ayase / YOASOBI,Ayase / YOASOBI,Ayase / YOASOBI,OIBODIPC_8Y,204.0
不器用な男 / カンザキイオリ,フウツワヨウナオトコ / カンザキイオリ,fuutsuwayounaotoko / kanzakiiori,カンザキイオリ,カンザキイオリ,kanzakiiori,rtHi7P5tb_s,336.0
みちづれ / 星街すいせい(official),ミチヅレ / ホシマチスイセイ(official),michizure / hoshimachisuisei(official),Suisei Channel,Suisei Channel,Suisei Channel,4uqONJT6G-M,208.0
自由に捕らわれる。 / カンザキイオリ,ジユニホラワレル。 / カンザキイオリ,jiyunihorawareru. / kanzakiiori,カンザキイオリ,カンザキイオリ,kanzakiiori,SqD9uOGUydU,327.0
YOASOBI「夜に駆ける」 Official Music Video,YOASOBI「ヨルニクケル」 Official Music Video,YOASOBI(yorunikukeru) Official Music Video,Ayase / YOASOBI,Ayase / YOASOBI,Ayase / YOASOBI,x8VYWazR5mE,276.0
【オリジナル楽曲】粛聖!! ロリ神レクイエム☆ / しぐれうい（9さい）,【オリジナルラクキョク】シュクヒジリ!! ロリカミレクイエム☆ / シグレウイ（9サイ）,(orijinarurakukyoku)shukuhijiri!! rorikamirekuiemu☆ / shigureui(9sai),しぐれうい,シグレウイ,shigureui,Ci_zad39Uhw,274.0
なぜ（少年少女 ver.）/カンザキイオリ,ナゼ（ショウネンショウオンナ ver.）/カンザキイオリ,naze(shounenshouonna ver.)/kanzakiiori,カンザキイオリ,カンザキイオリ,kanzakiiori,tGeyiScdNyk,218.0
Stellar Stellar / 星街すいせい(official),Stellar Stellar / ホシマチスイセイ(official),Stellar Stellar / hoshimachisuisei(official),Suisei Channel,Suisei Channel,Suisei Channel,a51VH9BYzZA,305.0
【Ado】私は最強 (ウタ from ONE PIECE FILM RED),【Ado】ワタシハサイキョウ (ウタ from ONE PIECE FILM RED),(Ado)watashihasaikyou (uta from ONE PIECE FILM RED),Ado,Ado,Ado,sk1Z-Hqwwog,270.0
【Ado】新時代 (ウタ from ONE PIECE FILM RED),【Ado】シントキダイ (ウタ from ONE PIECE FILM RED),(Ado)shintokidai (uta from ONE PIECE FILM RED),Ado,Ado,Ado,1FliVTcX8bQ,238.0
灼熱にて純情(wii-wii-woo) / 星街すいせい(official),シャクネツニテジュンジョウ(wii-wii-woo) / ホシマチスイセイ(official),shakunetsunitejunjou(wii-wii-woo) / hoshimachisuisei(official),Suisei Channel,Suisei Channel,Suisei Channel,r1ZVPTCOCSQ,236.0
怪獣の花唄　歌ってみたのはメガテラ・ゼロ,カイケモノノハナウタ　ウタッテミタノハメガテラ・ゼロ,kaikemononohanauta utatsutemitanohamegatera・zero,メガテラゼロ,メガテラゼロ,megaterazero,bc9lcY5nzQQ,226.0
少年少女/カンザキイオリ,ショウネンショウオンナ/カンザキイオリ,shounenshouonna/kanzakiiori,カンザキイオリ,カンザキイオリ,kanzakiiori,YeM_gxC1PhE,323.0
ソワレ / 星街すいせい(official),ソワレ / ホシマチスイセイ(official),soware / hoshimachisuisei(official),Suisei Channel,Suisei Channel,Suisei Channel,mRgslQ5Z-kU,234.0
